X,CH1,Start,Increment,
Sequence,Volt,-3.400000e-05,5.000000e-07
0,2.40e-01,
1,1.20e-01,
2,2.40e-01,
3,1.60e-01,
4,2.40e-01,
5,1.60e-01,
6,2.40e-01,
7,1.60e-01,
8,2.40e-01,
9,1.60e-01,
10,2.40e-01,
11,1.60e-01,
12,1.60e-01,
13,2.80e-01,
14,2.80e-01,
15,1.20e-01,
16,1.20e-01,
17,2.40e-01,
18,1.20e-01,
19,2.00e-01,
20,2.00e-01,
21,8.00e-02,
22,2.00e-01,
23,4.00e-02,
24,4.00e-02,
25,2.00e-01,
26,4.00e-02,
27,1.20e-01,
28,1.20e-01,
29,4.00e-02,
30,1.20e-01,
31,0.00e+00,
32,1.20e-01,
33,0.00e+00,
34,0.00e+00,
35,1.20e-01,
36,0.00e+00,
37,1.20e-01,
38,0.00e+00,
39,1.20e-01,
40,8.00e-02,
41,0.00e+00,
42,0.00e+00,
43,8.00e-02,
44,8.00e-02,
45,-4.00e-02,
46,8.00e-02,
47,-4.00e-02,
48,-4.00e-02,
49,1.20e-01,
50,0.00e+00,
51,1.20e-01,
52,1.20e-01,
53,0.00e+00,
54,0.00e+00,
55,1.20e-01,
56,4.00e-02,
57,2.40e-01,
58,1.20e-01,
59,2.80e-01,
60,2.00e-01,
61,4.00e-01,
62,2.80e-01,
63,5.20e-01,
64,4.40e-01,
65,6.80e-01,
66,6.00e-01,
67,8.00e-01,
68,7.60e-01,
69,9.60e-01,
70,8.80e-01,
71,1.12e+00,
72,1.04e+00,
73,1.28e+00,
74,1.20e+00,
75,1.40e+00,
76,1.32e+00,
77,1.56e+00,
78,1.52e+00,
79,1.72e+00,
80,1.68e+00,
81,1.84e+00,
82,1.76e+00,
83,1.96e+00,
84,1.92e+00,
85,2.08e+00,
86,2.00e+00,
87,2.20e+00,
88,2.12e+00,
89,2.28e+00,
90,2.20e+00,
91,2.40e+00,
92,2.36e+00,
93,2.48e+00,
94,2.40e+00,
95,2.60e+00,
96,2.48e+00,
97,2.64e+00,
98,2.60e+00,
99,2.72e+00,
100,2.64e+00,
101,2.80e+00,
102,2.68e+00,
103,2.84e+00,
104,2.76e+00,
105,2.88e+00,
106,2.80e+00,
107,2.92e+00,
108,2.88e+00,
109,2.96e+00,
110,3.04e+00,
111,2.92e+00,
112,3.00e+00,
113,3.08e+00,
114,3.00e+00,
115,3.12e+00,
116,3.12e+00,
117,3.04e+00,
118,3.08e+00,
119,3.16e+00,
120,3.16e+00,
121,3.08e+00,
122,3.16e+00,
123,3.08e+00,
124,3.12e+00,
125,3.24e+00,
126,3.12e+00,
127,3.24e+00,
128,3.12e+00,
129,3.24e+00,
130,3.24e+00,
131,3.12e+00,
132,3.12e+00,
133,3.28e+00,
134,3.20e+00,
135,3.28e+00,
136,3.20e+00,
137,3.28e+00,
138,3.20e+00,
139,3.28e+00,
140,3.20e+00,
141,3.28e+00,
142,3.20e+00,
143,3.28e+00,
144,3.20e+00,
145,3.28e+00,
146,3.28e+00,
147,3.20e+00,
148,3.28e+00,
149,3.20e+00,
150,3.20e+00,
151,3.28e+00,
152,3.28e+00,
153,3.20e+00,
154,3.28e+00,
155,3.20e+00,
156,3.20e+00,
157,3.28e+00,
158,3.24e+00,
159,3.12e+00,
160,3.12e+00,
161,3.24e+00,
162,3.24e+00,
163,3.12e+00,
164,3.12e+00,
165,3.24e+00,
166,3.24e+00,
167,3.12e+00,
168,3.24e+00,
169,3.12e+00,
170,3.16e+00,
171,3.08e+00,
172,3.16e+00,
173,3.08e+00,
174,3.16e+00,
175,3.08e+00,
176,3.16e+00,
177,3.08e+00,
178,3.16e+00,
179,3.08e+00,
180,3.16e+00,
181,3.04e+00,
182,3.12e+00,
183,3.04e+00,
184,3.04e+00,
185,3.12e+00,
186,3.04e+00,
187,3.12e+00,
188,3.08e+00,
189,3.00e+00,
190,3.00e+00,
191,3.08e+00,
192,3.00e+00,
193,3.08e+00,
194,3.00e+00,
195,3.08e+00,
196,3.08e+00,
197,3.00e+00,
198,3.08e+00,
199,3.00e+00,
200,3.08e+00,
201,3.00e+00,
202,3.00e+00,
203,3.08e+00,
204,3.08e+00,
205,3.00e+00,
206,3.04e+00,
207,2.96e+00,
208,3.04e+00,
209,2.92e+00,
210,3.04e+00,
211,2.92e+00,
212,3.04e+00,
213,2.88e+00,
214,2.96e+00,
215,2.88e+00,
216,2.96e+00,
217,2.88e+00,
218,2.92e+00,
219,2.84e+00,
220,2.92e+00,
221,2.84e+00,
222,2.92e+00,
223,2.84e+00,
224,2.88e+00,
225,2.80e+00,
226,2.80e+00,
227,2.88e+00,
228,2.80e+00,
229,2.88e+00,
230,2.80e+00,
231,2.88e+00,
232,2.80e+00,
233,2.88e+00,
234,2.84e+00,
235,2.76e+00,
236,2.76e+00,
237,2.84e+00,
238,2.76e+00,
239,2.84e+00,
240,2.84e+00,
241,2.76e+00,
242,2.76e+00,
243,2.84e+00,
244,2.80e+00,
245,2.68e+00,
246,2.80e+00,
247,2.68e+00,
248,2.68e+00,
249,2.80e+00,
250,2.80e+00,
251,2.68e+00,
252,2.80e+00,
253,2.64e+00,
254,2.72e+00,
255,2.64e+00,
256,2.72e+00,
257,2.64e+00,
258,2.72e+00,
259,2.64e+00,
260,2.72e+00,
261,2.60e+00,
262,2.68e+00,
263,2.60e+00,
264,2.68e+00,
265,2.60e+00,
266,2.64e+00,
267,2.56e+00,
268,2.56e+00,
269,2.64e+00,
270,2.64e+00,
271,2.56e+00,
272,2.56e+00,
273,2.64e+00,
274,2.60e+00,
